,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,train_size,val_size,test_size,positive_rate_test,min_recall_constraint
logistic_regression,0.9993197149160452,0.6739130434782609,0.7251461988304093,0.6985915492957746,0.9985533838074568,0.7674080842142871,0.98,733975.0,157313.0,157287.0,0.0010871845734231056,0.75
random_forest,0.9999809265864312,1.0,0.9824561403508771,0.9911504424778761,0.9941332131554309,0.9868035230369724,0.52,733975.0,157313.0,157287.0,0.0010871845734231056,0.75
xgboost,0.9999809265864312,1.0,0.9824561403508771,0.9911504424778761,0.9981080019991934,0.9904465675396192,0.67,733975.0,157313.0,157287.0,0.0010871845734231056,0.75
lightgbm,0.9955876836610782,0.19053254437869824,0.9415204678362573,0.3169291338582677,0.968582009433489,0.17945386836669383,0.05,733975.0,157313.0,157287.0,0.0010871845734231056,0.75
mlp,0.9996503207512382,0.881578947368421,0.783625730994152,0.8297213622291022,0.993326233129945,0.869325307482627,0.22,200000.0,157313.0,157287.0,0.0010871845734231056,0.75
